epoch,step,min,max,mean,std
1,10000,-0.03539532050490379,-0.03539532050490379,-0.03539532050490379,0.0
2,20000,0.008585892617702484,0.008585892617702484,0.008585892617702484,0.0
3,30000,0.16549286246299744,0.16549286246299744,0.16549286246299744,0.0
4,40000,-0.03856825456023216,-0.03856825456023216,-0.03856825456023216,0.0
5,50000,0.1997547745704651,0.1997547745704651,0.1997547745704651,0.0
6,60000,-0.04723183065652847,-0.04723183065652847,-0.04723183065652847,0.0
7,70000,-0.044772349298000336,-0.044772349298000336,-0.044772349298000336,0.0
8,80000,-0.04369068890810013,-0.04369068890810013,-0.04369068890810013,0.0
9,90000,-0.003282364457845688,-0.003282364457845688,-0.003282364457845688,0.0
10,100000,0.039616670459508896,0.039616670459508896,0.039616670459508896,0.0
