epoch,step,min,max,mean,std
1,10000,-32.06023406982422,50.791046142578125,2.0828702449798584,12.79382038116455
2,20000,-203.6937255859375,229.5890655517578,9.292184829711914,58.51387405395508
3,30000,-51.301876068115234,82.38778686523438,3.0893359184265137,20.300621032714844
4,40000,-70.15513610839844,75.17326354980469,3.1575417518615723,20.58734893798828
5,50000,-81.38008880615234,93.77214050292969,3.4966745376586914,23.353710174560547
6,60000,-14.349372863769531,29.154571533203125,0.8578333854675293,6.256976127624512
7,70000,-162.0068359375,254.9408416748047,9.40886116027832,60.39789962768555
8,80000,-38.556846618652344,69.33735656738281,2.1519012451171875,15.59533405303955
9,90000,-49.99256134033203,98.0250015258789,3.568358898162842,24.49517059326172
10,100000,-57.77912902832031,127.59967803955078,3.9334828853607178,29.50922966003418
