epoch,step,min,max,mean,std
1,10000,-0.1426442712545395,0.06997460871934891,-0.0011047950247302651,0.01525498740375042
2,20000,-0.29497966170310974,0.5327087640762329,0.0022175402846187353,0.044422946870326996
3,30000,-0.7798895239830017,1.5318740606307983,0.012545093894004822,0.1517941802740097
4,40000,-0.8182743191719055,0.32298246026039124,-0.0024246766697615385,0.06905623525381088
5,50000,-0.7778745889663696,3.7219481468200684,0.025324979797005653,0.2732104957103729
6,60000,-0.31705641746520996,0.9335270524024963,0.0065782018937170506,0.08631907403469086
7,70000,-1.817223072052002,0.878140926361084,-0.012605619616806507,0.15999481081962585
8,80000,-2.576021671295166,0.47641175985336304,-0.01230549905449152,0.1496519148349762
9,90000,-0.14326399564743042,0.6080501675605774,0.001916610635817051,0.039527058601379395
10,100000,-0.4212951064109802,0.3207835555076599,-0.0031834456603974104,0.04501063749194145
