epoch,step,min,max,mean,std
1,10000,-0.059426192194223404,0.07775206863880157,-0.001961002591997385,0.015378034673631191
2,20000,-0.12724627554416656,0.5141434669494629,0.01007344014942646,0.0667504146695137
3,30000,-0.7895609140396118,1.5872011184692383,0.03655872866511345,0.25209343433380127
4,40000,-0.20233036577701569,0.318159282207489,0.001011776039376855,0.04865929111838341
5,50000,-0.3311390280723572,1.833554983139038,0.042107731103897095,0.22611522674560547
6,60000,-0.35431137681007385,0.6478006839752197,0.009127912111580372,0.09898798912763596
7,70000,-0.9379458427429199,0.253950297832489,-0.021821826696395874,0.132463276386261
8,80000,-0.9633834362030029,0.17836619913578033,-0.02305886335670948,0.11917264759540558
9,90000,-0.1528680920600891,0.31214258074760437,0.003290649736300111,0.031909115612506866
10,100000,-0.2714446187019348,0.20333720743656158,-0.005926895886659622,0.045174892991781235
