epoch,step,min,max,mean,std
1,10000,-0.019410058856010437,-0.019410058856010437,-0.019410058856010437,0.0
2,20000,-0.06815017014741898,-0.06815017014741898,-0.06815017014741898,0.0
3,30000,-0.03458957374095917,-0.03458957374095917,-0.03458957374095917,0.0
4,40000,-0.1149342805147171,-0.1149342805147171,-0.1149342805147171,0.0
5,50000,-0.2589939534664154,-0.2589939534664154,-0.2589939534664154,0.0
6,60000,0.029867634177207947,0.029867634177207947,0.029867634177207947,0.0
7,70000,0.19363799691200256,0.19363799691200256,0.19363799691200256,0.0
8,80000,0.16273187100887299,0.16273187100887299,0.16273187100887299,0.0
9,90000,-0.0606020912528038,-0.0606020912528038,-0.0606020912528038,0.0
10,100000,-0.06135403364896774,-0.06135403364896774,-0.06135403364896774,0.0
