epoch,step,min,max,mean,std
1,10000,-2.5655694007873535,3.150942802429199,-0.005709156394004822,0.47496405243873596
2,20000,-8.227346420288086,3.9167776107788086,-0.049966052174568176,0.8944019079208374
3,30000,-4.128212928771973,3.959264039993286,0.011969692073762417,0.5893922448158264
4,40000,-4.10606575012207,2.3453660011291504,-0.03792848065495491,0.38610586524009705
5,50000,-5.071664810180664,3.236320734024048,-0.060701221227645874,0.504532516002655
6,60000,-2.2335257530212402,1.9217102527618408,0.008660748600959778,0.2455175817012787
7,70000,-13.621430397033691,9.62641429901123,-0.12177897244691849,0.9488973617553711
8,80000,-4.943630695343018,3.2455549240112305,-0.034098219126462936,0.31117111444473267
9,90000,-4.479982376098633,2.660621166229248,-0.04144681617617607,0.4091548025608063
10,100000,-8.031949996948242,9.609452247619629,-0.03764769062399864,1.0800716876983643
