epoch,step,min,max,mean,std
1,10000,-0.9405593276023865,-0.9405593276023865,-0.9405593276023865,0.0
2,20000,-2.393449068069458,-2.393449068069458,-2.393449068069458,0.0
3,30000,0.193162202835083,0.193162202835083,0.193162202835083,0.0
4,40000,-0.3932959735393524,-0.3932959735393524,-0.3932959735393524,0.0
5,50000,-0.13133500516414642,-0.13133500516414642,-0.13133500516414642,0.0
6,60000,-0.9645500183105469,-0.9645500183105469,-0.9645500183105469,0.0
7,70000,0.00508040189743042,0.00508040189743042,0.00508040189743042,0.0
8,80000,-0.97874915599823,-0.97874915599823,-0.97874915599823,0.0
9,90000,-1.3628604412078857,-1.3628604412078857,-1.3628604412078857,0.0
10,100000,-0.9701492786407471,-0.9701492786407471,-0.9701492786407471,0.0
