epoch,step,min,max,mean,std
1,10000,-1.766838788986206,-1.766838788986206,-1.766838788986206,0.0
2,20000,-2.2171168327331543,-2.2171168327331543,-2.2171168327331543,0.0
3,30000,-0.7950096726417542,-0.7950096726417542,-0.7950096726417542,0.0
4,40000,-0.6950060129165649,-0.6950060129165649,-0.6950060129165649,0.0
5,50000,-0.7844904065132141,-0.7844904065132141,-0.7844904065132141,0.0
6,60000,-0.21903574466705322,-0.21903574466705322,-0.21903574466705322,0.0
7,70000,-2.0221142768859863,-2.0221142768859863,-2.0221142768859863,0.0
8,80000,-0.46049007773399353,-0.46049007773399353,-0.46049007773399353,0.0
9,90000,-0.8817791938781738,-0.8817791938781738,-0.8817791938781738,0.0
10,100000,-1.489839792251587,-1.489839792251587,-1.489839792251587,0.0
