epoch,step,min,max,mean,std
1,10000,-19.0147762298584,-19.0147762298584,-19.0147762298584,0.0
2,20000,-5.9744744300842285,-5.9744744300842285,-5.9744744300842285,0.0
3,30000,-2.3086094856262207,-2.3086094856262207,-2.3086094856262207,0.0
4,40000,-0.8578026294708252,-0.8578026294708252,-0.8578026294708252,0.0
5,50000,-0.3377334177494049,-0.3377334177494049,-0.3377334177494049,0.0
6,60000,-0.1873399317264557,-0.1873399317264557,-0.1873399317264557,0.0
7,70000,-0.05658864602446556,-0.05658864602446556,-0.05658864602446556,0.0
8,80000,-0.026332048699259758,-0.026332048699259758,-0.026332048699259758,0.0
9,90000,-0.009873672388494015,-0.009873672388494015,-0.009873672388494015,0.0
10,100000,-0.005037866532802582,-0.005037866532802582,-0.005037866532802582,0.0
