epoch,step,min,max,mean,std
1,1000,-0.47028452157974243,-0.47028452157974243,-0.47028452157974243,0.0
2,2000,-0.8818103671073914,-0.8818103671073914,-0.8818103671073914,0.0
3,3000,-0.1629324108362198,-0.1629324108362198,-0.1629324108362198,0.0
4,4000,-0.7078260183334351,-0.7078260183334351,-0.7078260183334351,0.0
5,5000,0.24665051698684692,0.24665051698684692,0.24665051698684692,0.0
6,6000,0.7611258625984192,0.7611258625984192,0.7611258625984192,0.0
7,7000,-0.637955904006958,-0.637955904006958,-0.637955904006958,0.0
8,8000,-1.2569738626480103,-1.2569738626480103,-1.2569738626480103,0.0
9,9000,-1.4156825542449951,-1.4156825542449951,-1.4156825542449951,0.0
10,10000,0.5390051603317261,0.5390051603317261,0.5390051603317261,0.0
