epoch,step,min,max,mean,std
1,1000,-0.07744207233190536,0.08349927514791489,0.017108656466007233,0.042336177080869675
2,2000,-0.1890343725681305,0.25956374406814575,0.034154362976551056,0.12888415157794952
3,3000,-0.08541972190141678,0.12850230932235718,0.006432217080146074,0.04128139466047287
4,4000,-0.27644068002700806,0.5391210317611694,0.04813779145479202,0.17681214213371277
5,5000,-0.3030717372894287,0.16281533241271973,-0.006707777734845877,0.0755094364285469
6,6000,-0.5741577744483948,0.5103614330291748,-0.00618189200758934,0.27733126282691956
7,7000,-0.5577818751335144,0.7065409421920776,0.011734576895833015,0.26968124508857727
8,8000,-1.0086071491241455,1.4887290000915527,0.05231941491365433,0.49936768412590027
9,9000,-0.9130523800849915,1.3416399955749512,0.06528500467538834,0.551173210144043
10,10000,-1.2900742292404175,0.8294776678085327,0.007084216922521591,0.3166305422782898
