epoch,step,min,max,mean,std
1,1000,-0.007938130758702755,0.03994458541274071,0.006558926310390234,0.0070194401778280735
2,2000,-0.008631762117147446,0.045597612857818604,0.00659629562869668,0.009936771355569363
3,3000,-0.014905296266078949,0.06030384823679924,0.009682617150247097,0.012305224314332008
4,4000,-0.021313589066267014,0.03277159854769707,-1.786207576515153e-05,0.008052495308220387
5,5000,-0.04764939099550247,0.04622528329491615,0.000940356170758605,0.012435506097972393
6,6000,-0.00804811716079712,0.23439347743988037,0.04611615836620331,0.043107770383358
7,7000,-0.12439528852701187,0.04996953904628754,-0.020639322698116302,0.031980130821466446
8,8000,-0.5365490913391113,0.008343767374753952,-0.09463399648666382,0.11485714465379715
9,9000,-0.03312014788389206,0.08226665109395981,0.013948209583759308,0.022883495315909386
10,10000,-0.0317704901099205,0.20960800349712372,0.024713832885026932,0.038019321858882904
