epoch,step,min,max,mean,std
1,1000,-1.3343380689620972,1.2715160846710205,-0.015664290636777878,0.24881117045879364
2,2000,-3.085897207260132,8.055831909179688,0.12825137376785278,0.8936535716056824
3,3000,-5.380593299865723,4.443661689758301,0.012600771151483059,0.6920010447502136
4,4000,-9.747722625732422,11.220680236816406,0.07534031569957733,1.5782147645950317
5,5000,-18.28998565673828,13.447608947753906,0.10799820721149445,1.8361903429031372
6,6000,-35.25898361206055,15.927063941955566,-0.682684063911438,4.943492889404297
7,7000,-26.610042572021484,65.68557739257812,0.566221296787262,6.6384596824646
8,8000,-23.6678466796875,30.42870330810547,0.10525716841220856,4.905135631561279
9,9000,-46.92525863647461,34.475555419921875,0.3429133892059326,7.370208263397217
10,10000,-76.64225006103516,95.69267272949219,-0.7712417840957642,11.990817070007324
