epoch,step,min,max,mean,std
1,1000,-0.11965857446193695,0.1574079692363739,0.029019854962825775,0.07426486909389496
2,2000,-0.14506079256534576,0.2086101472377777,0.031198758631944656,0.09273816645145416
3,3000,-0.2303534597158432,0.26357048749923706,0.037663623690605164,0.11655393242835999
4,4000,-0.16950595378875732,0.37256336212158203,0.030304785817861557,0.08599362522363663
5,5000,-0.4936153292655945,0.626725971698761,0.05968902260065079,0.25518327951431274
6,6000,-0.3763945400714874,0.41081297397613525,0.012279803864657879,0.1530994474887848
7,7000,-0.6855642795562744,0.6972084045410156,-0.01469271257519722,0.35171985626220703
8,8000,-0.8819898366928101,0.797541618347168,-0.013692296110093594,0.38588055968284607
9,9000,-0.42776310443878174,0.9970325231552124,0.10419386625289917,0.2930208444595337
10,10000,-0.567908763885498,0.34808987379074097,-0.037790391594171524,0.17401155829429626
