epoch,step,min,max,mean,std
1,1000,-0.14321443438529968,0.1833554059267044,0.010268427431583405,0.03086238168179989
2,2000,-0.18176546692848206,0.23806002736091614,0.01137134712189436,0.04759933054447174
3,3000,-0.2735000550746918,0.30333590507507324,-0.0003686156705953181,0.05411653220653534
4,4000,-0.2656417787075043,0.44642314314842224,0.011098692193627357,0.052190955728292465
5,5000,-0.5636125206947327,0.7737046480178833,0.008729329332709312,0.11246167868375778
6,6000,-0.47107410430908203,0.5581648349761963,-0.006223320960998535,0.07908918708562851
7,7000,-1.0914368629455566,1.3370510339736938,-0.010629975236952305,0.233469620347023
8,8000,-1.5667256116867065,1.4284967184066772,-0.007657085545361042,0.27685633301734924
9,9000,-0.7028083801269531,1.2642712593078613,0.03969297558069229,0.14733752608299255
10,10000,-0.9384500980377197,0.8377071022987366,-0.016718270257115364,0.1704222708940506
